,,,,,,,,,,,,,,Per Game,,,,,,Shooting,,,,Advanced,
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
82,2015,NBA,1,12,UTA,Trey Lyles,19.237,F,ca,University of Kentucky,2016,2018,207,17.8,7.4,4,1,0.4,0.3,0.433,0.478,0.362,0.698,6.5,0.085
83,2016,NBA,1,12,UTA,Taurean Prince,22.099,F,us,Baylor University,2017,2018,121,23.4,9.2,3.7,1.6,0.9,0.5,0.41,0.449,0.358,0.807,2,0.033
84,2017,NBA,1,12,DET,Luke Kennard,21.003,G,us,Duke University,2018,2018,54,18,6.4,2,1.4,0.6,0.1,0.43,0.443,0.413,0.85,1.3,0.065
85,2011,NBA,1,13,PHO,Markieff Morris,21.299,F,us,University of Kansas,2012,2018,501,26.4,11.8,5.6,1.7,0.9,0.6,0.45,0.479,0.337,0.779,21.3,0.077
86,2012,NBA,1,13,PHO,Kendall Marshall,20.319,G,us,University of North Carolina,2013,2016,160,19.3,5,1.6,4.9,0.7,0.1,0.399,0.422,0.37,0.611,1,0.015
87,2013,NBA,1,13,DAL,Kelly Olynyk,22.075,C-F,ca,Gonzaga University,2014,2018,334,21.1,9.7,4.8,1.8,0.7,0.5,0.479,0.539,0.365,0.745,17.8,0.121
88,2014,NBA,1,13,MIN,Zach LaVine,19.113,G,us,"University of California, Los Angeles",2015,2018,223,28.7,14,3,3.2,0.8,0.2,0.441,0.472,0.38,0.818,5.4,0.04
89,2015,NBA,1,13,PHO,Devin Booker,18.242,G,us,University of Kentucky,2016,2018,202,32.1,19.7,3.3,3.4,0.8,0.3,0.425,0.455,0.362,0.85,6.5,0.048
90,2016,NBA,1,13,PHO,Georgios Papagiannis,18.36,C,gr,,2017,2018,38,12.4,4.2,3.2,0.8,0.1,0.6,0.51,0.518,0,0.857,0.4,0.037
91,2017,NBA,1,13,DEN,Donovan Mitchell,20.293,G,us,University of Louisville,2018,2018,58,32.4,19.6,3.5,3.5,1.5,0.4,0.437,0.494,0.352,0.835,3.2,0.081
92,2011,NBA,1,14,HOU,Marcus Morris,21.299,F,us,University of Kansas,2012,2018,455,26.1,11,4.4,1.5,0.7,0.3,0.427,0.47,0.355,0.726,21.1,0.085
93,2012,NBA,1,14,MIL,John Henson,21.188,C-F,us,University of North Carolina,2013,2018,371,20,7.9,5.4,1.1,0.4,1.5,0.542,0.544,0,0.575,17.6,0.114
94,2013,NBA,1,14,UTA,Shabazz Muhammad,20.231,F-G,us,"University of California, Los Angeles",2014,2018,267,17.4,9,2.8,0.5,0.3,0.1,0.47,0.507,0.317,0.747,7.8,0.08
95,2014,NBA,1,14,PHO,T.J. Warren,20.299,F,us,North Carolina State University,2015,2018,212,26.7,13.5,4.1,1.1,0.9,0.5,0.5,0.527,0.281,0.752,10.9,0.092
96,2015,NBA,1,14,OKC,Cameron Payne,20.326,G,us,Murray State University,2016,2018,92,13.4,5.1,1.5,2,0.6,0.2,0.378,0.427,0.31,0.75,1.1,0.041
97,2016,NBA,1,14,CHI,Denzel Valentine,22.225,G,us,Michigan State University,2017,2018,118,22.6,7.6,4.1,2.2,0.6,0.1,0.392,0.429,0.366,0.81,2.7,0.049
98,2017,NBA,1,14,MIA,Bam Adebayo,19.344,C-F,us,University of Kentucky,2018,2018,53,20.5,7.4,5.5,1.6,0.5,0.7,0.555,0.568,0,0.73,4,0.176
99,2011,NBA,1,15,IND,Kawhi Leonard,19.364,F,us,San Diego State University,2012,2018,407,30.4,16.3,6.2,2.3,1.8,0.7,0.495,0.537,0.386,0.846,56.3,0.219
100,2012,NBA,1,15,PHI,Maurice Harkless,19.053,F-G,us,St. John's University,2013,2018,407,22.9,7.2,3.6,0.9,1,0.6,0.471,0.536,0.321,0.604,14.6,0.075
101,2013,NBA,1,15,MIL,Giannis Antetokounmpo,18.208,F-G,gr,,2014,2018,375,32.6,16.8,7.4,3.8,1.2,1.3,0.506,0.537,0.279,0.744,36.8,0.144
102,2014,NBA,1,15,ATL,Adreian Payne,23.133,F-C,us,Michigan State University,2015,2018,107,13.1,4,2.9,0.6,0.4,0.3,0.406,0.43,0.254,0.68,-0.6,-0.019
103,2015,NBA,1,15,ATL,Kelly Oubre,19.203,F,us,University of Kansas,2016,2018,204,19.6,7.3,3.3,0.6,0.7,0.2,0.421,0.49,0.331,0.782,5.9,0.07
104,2016,NBA,1,15,DEN,Juan Hernangomez,20.274,F,es,,2017,2018,83,13,4.5,2.8,0.5,0.4,0.2,0.437,0.508,0.375,0.759,2.2,0.097
105,2017,NBA,1,15,POR,Justin Jackson,22.092,G-F,us,University of North Carolina,2018,2018,48,20,5.9,2.5,0.9,0.5,0.2,0.431,0.522,0.304,0.68,0.3,0.013
106,2011,NBA,1,16,PHI,Nikola Vucevic,20.247,C,ch,University of Southern California,2012,2018,437,29.9,14.8,9.8,2.1,0.8,0.9,0.502,0.51,0.328,0.725,30.9,0.114
107,2012,NBA,1,16,HOU,Royce White,21.085,F,us,Iowa State University,2014,2014,3,3,0,0,0,0,0,0,0,,,0,-0.121
108,2013,NBA,1,16,BOS,Lucas Nogueira,20.341,C,br,,2015,2018,127,13,3.3,2.9,0.5,0.7,1,0.629,0.676,0.258,0.654,5.6,0.163
109,2014,NBA,1,16,CHI,Jusuf Nurkic,19.312,C,ba,,2015,2018,218,21.1,10,6.9,1.5,0.8,1.2,0.475,0.478,0,0.621,6.7,0.07
110,2015,NBA,1,16,BOS,Terry Rozier,21.105,G,us,University of Louisville,2016,2018,176,17.6,6.4,3.2,1.8,0.6,0.1,0.375,0.396,0.348,0.773,5.4,0.083
111,2016,NBA,1,16,BOS,Guerschon Yabusele,20.194,F,fr,,2018,2018,22,5,1.8,1.4,0.3,0,0,0.406,0.5,0.364,0.556,0.3,0.116
112,2017,NBA,1,16,CHI,Justin Patton,20.013,C,us,Creighton University,,,,,,,,,,,,,,,
113,2011,NBA,1,17,NYK,Iman Shumpert,21.002,G,us,Georgia Institute of Technology,2012,2018,384,25.4,7.3,3.4,1.9,1.2,0.2,0.396,0.441,0.338,0.763,11.5,0.057
114,2012,NBA,1,17,DAL,Tyler Zeller,22.168,F-C,us,University of North Carolina,2013,2018,390,17.6,7,4.4,0.9,0.2,0.6,0.506,0.51,0.294,0.76,15.7,0.11
115,2013,NBA,1,17,ATL,Dennis Schroder,19.29,G,de,,2014,2018,343,23.5,12.7,2.5,4.7,0.8,0.1,0.433,0.47,0.32,0.831,10.1,0.06
116,2014,NBA,1,17,BOS,James Young,18.319,G-F,us,University of Kentucky,2015,2018,94,8.5,2.3,1,0.3,0.3,0.1,0.365,0.535,0.277,0.563,0.8,0.048
117,2015,NBA,1,17,MIL,Rashad Vaughn,18.317,G,us,"University of Nevada, Las Vegas",2016,2018,138,12,3.1,1.1,0.5,0.4,0.2,0.338,0.366,0.314,0.692,-0.5,-0.015
118,2016,NBA,1,17,MEM,Wade Baldwin,20.091,G,us,Vanderbilt University,2017,2017,33,12.3,3.2,1.4,1.8,0.5,0.2,0.313,0.355,0.136,0.838,-0.3,-0.041
119,2017,NBA,1,17,MIL,D.J. Wilson,21.129,F,us,University of Michigan,2018,2018,20,3.4,1,0.5,0.2,0.1,0.1,0.571,0.667,0.4,0.5,0.1,0.044
120,2011,NBA,1,18,WAS,Chris Singleton,21.219,F,us,Florida State University,2012,2014,148,17.6,4.1,3.2,0.6,0.8,0.4,0.376,0.4,0.319,0.633,2.3,0.042
121,2012,NBA,1,18,HOU,Terrence Jones,20.176,F,us,University of Kentucky,2013,2017,232,24,10.5,5.7,1,0.6,1.2,0.501,0.539,0.299,0.622,14.8,0.128
122,2013,NBA,1,18,ATL,Shane Larkin,20.273,G,us,University of Miami,2014,2018,242,18.8,5.4,1.8,2.8,0.9,0.1,0.425,0.459,0.33,0.772,3.6,0.038
123,2014,NBA,1,18,PHO,Tyler Ennis,19.311,G,ca,Syracuse University,2015,2018,169,12,3.9,1.2,1.9,0.5,0.1,0.41,0.447,0.314,0.762,0.7,0.016
124,2015,NBA,1,18,HOU,Sam Dekker,21.055,F,us,University of Wisconsin,2016,2018,135,15.9,5.5,3.1,0.8,0.4,0.2,0.469,0.585,0.282,0.607,3.9,0.087
125,2016,NBA,1,18,DET,Henry Ellenson,19.166,F,us,Marquette University,2017,2018,44,7,2.8,1.9,0.4,0.1,0,0.353,0.4,0.297,0.5,-0.4,-0.061
126,2017,NBA,1,18,IND,T.J. Leaf,20.058,F,il,"University of California, Los Angeles",2018,2018,43,9.3,3.1,1.6,0.2,0.1,0.1,0.47,0.468,0.472,0.667,0.7,0.081
127,2011,NBA,1,19,CHA,Tobias Harris,18.347,F,us,University of Tennessee,2012,2018,442,29.4,14.4,5.6,1.7,0.7,0.5,0.466,0.509,0.351,0.811,30.6,0.113
128,2012,NBA,1,19,ORL,Andrew Nicholson,22.208,F,ca,St. Bonaventure University,2013,2017,285,14.3,6,3,0.4,0.3,0.3,0.467,0.498,0.321,0.773,3.8,0.045
129,2013,NBA,1,19,CLE,Sergey Karasev,19.249,G-F,ru,,2014,2016,95,11.7,3,1.5,0.9,0.3,0,0.395,0.489,0.282,0.842,0.8,0.036
130,2014,NBA,1,19,CHI,Gary Harris,19.29,G,us,Michigan State University,2015,2018,245,28.3,12.1,2.5,2.1,1.3,0.2,0.467,0.536,0.37,0.796,12.8,0.089
131,2015,NBA,1,19,WAS,Jerian Grant,22.264,G,us,University of Notre Dame,2016,2018,197,18.5,6.5,2.1,3,0.7,0.1,0.414,0.466,0.317,0.791,6.3,0.083
132,2016,NBA,1,19,DEN,Malik Beasley,19.214,G,us,Florida State University,2017,2018,74,9.3,3.4,1.1,0.5,0.3,0.1,0.416,0.496,0.306,0.694,0.4,0.026
133,2017,NBA,1,19,ATL,John Collins,19.277,F,us,Wake Forest University,2018,2018,56,22.6,10.2,7.1,1,0.6,1.2,0.581,0.595,0.316,0.732,4.2,0.161
134,2011,NBA,1,20,MIN,Donatas Motiejunas,20.281,F-C,lt,,2013,2017,248,18.4,7.4,3.8,1.1,0.5,0.3,0.469,0.529,0.3,0.6,7.2,0.076
135,2012,NBA,1,20,DEN,Evan Fournier,19.247,G-F,fr,,2013,2018,372,27.2,13.1,2.7,2.3,0.8,0.1,0.448,0.494,0.381,0.805,15.9,0.075
136,2013,NBA,1,20,CHI,Tony Snell,21.235,G-F,us,University of New Mexico,2014,2018,348,22.6,6.3,2.5,1,0.5,0.2,0.42,0.473,0.379,0.808,9.8,0.06
137,2014,NBA,1,20,TOR,Bruno Caboclo,18.283,F,br,,2015,2018,26,5.1,1.2,0.7,0.3,0.2,0.1,0.265,0.286,0.238,,-0.4,-0.141
138,2015,NBA,1,20,TOR,Delon Wright,23.065,G,us,University of Utah,2016,2018,102,16.5,6.4,2.2,2.2,0.8,0.4,0.455,0.493,0.363,0.81,4.8,0.138
139,2016,NBA,1,20,IND,Caris LeVert,21.308,G-F,us,University of Michigan,2017,2018,110,23.7,9.8,3.5,2.9,1,0.2,0.437,0.51,0.326,0.706,3,0.055
140,2017,NBA,1,20,POR,Harry Giles,19.066,F-C,us,Duke University,,,,,,,,,,,,,,,
